congress,chamber,icpsr,bioname,party_code,post_mean,post_median,post_sd,post_025,post_975,nominate_dim1,nominate_dim2
114,House,20750,"WELCH, Peter",100,-2.1360737012826303,-2.135615636276975,0.09171550716968768,-2.31687015965468,-1.9563540755492699,-0.407,-0.356
114,House,20754,"TSONGAS, Nicola S. (Niki)",100,-1.8391086732124748,-1.8383437344688336,0.08418008407302645,-2.006276453959005,-1.6760951055016853,-0.396,-0.199
114,House,20755,"LATTA, Robert E.",200,1.4258289985670205,1.425777827359868,0.0636271285150972,1.3002146358898592,1.5512592399380838,0.514,0.27
114,House,20756,"WITTMAN, Robert J.",200,1.5299191933862877,1.5294671185909472,0.06564605522498862,1.4026955165738517,1.6578005602578658,0.445,0.004
114,House,20757,"CARSON, André",100,-1.843048392471788,-1.8414983161304366,0.08775442820415129,-2.0190701477477853,-1.67382620970769,-0.429,0.056
114,House,20758,"BILIRAKIS, Gus",200,1.3707279259494383,1.3707328139533987,0.06204398087994212,1.2510826554699024,1.4923191562436575,0.406,0.025
114,House,20759,"SCALISE, Steve",200,1.3543141930903089,1.3540568014817602,0.062445964208561286,1.2342939562848696,1.478187295692377,0.554,0.18
114,House,20762,"SPEIER, Karen Lorraine Jacqueline (Jackie)",100,-1.973303978565713,-1.9724921324934888,0.08891634607446636,-2.1478991258408646,-1.8016534235124217,-0.381,-0.411
114,House,20763,"EDWARDS, Donna F.",100,-2.113186026502849,-2.1122456719542457,0.09385491964638182,-2.2979712054825265,-1.9305382183555342,-0.562,-0.294
114,House,20902,"KIRKPATRICK, Ann",100,-1.0343889074229222,-1.0344705126868674,0.05426611701120994,-1.1398958505553374,-0.9280795651290225,-0.169,-0.011
114,House,20903,"McCLINTOCK, Tom",200,1.9049828794553536,1.9050616545996601,0.0638997158778159,1.7805326311677034,2.028971337367209,0.694,-0.424
114,House,20904,"POLIS, Jared",100,-1.642423029231208,-1.6422230298258487,0.07857635399289661,-1.7976966899374558,-1.4909028342063204,-0.278,-0.692
114,House,20906,"COFFMAN, Mike",200,1.1627303678764382,1.1623149757181386,0.06089935689705542,1.0430373439692007,1.28411581480928,0.492,-0.213
114,House,20907,"HIMES, James A.",100,-1.3796558181170706,-1.3797317174813142,0.06434907030632506,-1.5062559379346416,-1.2531609652661948,-0.241,-0.234
114,House,20908,"GRAYSON, Alan",100,-1.8626197698367466,-1.8609919392887713,0.09958322712007935,-2.062149706823614,-1.672485957256659,-0.363,-0.457
114,House,20909,"POSEY, Bill",200,1.703069976821265,1.7033271784595416,0.06610785072943902,1.5725731363251567,1.8326806043117256,0.526,-0.334
114,House,20910,"ROONEY, Thomas J.",200,1.2227537913510689,1.2221903512834102,0.06082333278423951,1.1052074189715788,1.3411884190308736,0.458,0.013
114,House,20915,"JENKINS, Lynn",200,1.424500239739088,1.4240835900134534,0.06672789994750648,1.2948986657953163,1.5564556284833793,0.523,0.004
114,House,20916,"GUTHRIE, Brett",200,1.3928959842370667,1.392775078873991,0.06257954149307408,1.2700314707064384,1.5149377217054918,0.421,0.283
114,House,20918,"FLEMING, John",200,1.8280085817661593,1.8285985979559636,0.06459305830392811,1.7024461613381203,1.9544440734133826,0.59,0.022
114,House,20920,"PINGREE, Chellie",100,-1.9148121198705192,-1.9156303521577225,0.08637304991757144,-2.083269130357163,-1.7457429721674342,-0.42,-0.376
114,House,20924,"PAULSEN, Erik",200,0.9577033343638124,0.9574680454209384,0.05791032741337261,0.8445911691924319,1.071042538256133,0.402,-0.191
114,House,20925,"HARPER, Gregg",200,1.0614740682544384,1.0613868019724213,0.058598260297801776,0.9466907712036599,1.1765887825664558,0.384,0.48
114,House,20926,"LUETKEMEYER, Blaine",200,1.1554229458539225,1.155348418529659,0.059415457002753747,1.039820892191234,1.2718168768555353,0.444,0.26
114,House,20927,"TITUS, Alice (Dina)",100,-1.5580581478634696,-1.5570217960472283,0.07309033222144944,-1.7048377430363806,-1.4170489385085792,-0.304,-0.215
114,House,20929,"LANCE, Leonard",200,0.9120753557871651,0.9124425978337033,0.05768727005834051,0.7997564497051761,1.0246637426474905,0.329,-0.237
114,House,20932,"LUJÁN, Ben Ray",100,-1.5737172242210682,-1.573276946805291,0.0718787885514752,-1.7163913616992277,-1.4331544444833437,-0.368,0.015
114,House,20934,"TONKO, Paul",100,-1.9749185396137787,-1.974397917916428,0.08786639101178269,-2.1491270470811528,-1.8029436288040372,-0.421,-0.262
114,House,20941,"FUDGE, Marcia L.",100,-2.1560908982388525,-2.1568608707559087,0.09268541172762683,-2.3362640486661586,-1.974565826802522,-0.581,0.14
114,House,20944,"SCHRADER, Kurt",100,-0.8413129589302197,-0.8414647571880134,0.04839651974095545,-0.9368358949148493,-0.7461621441785942,-0.182,0.055
114,House,20946,"THOMPSON, Glenn",200,0.8872368150763864,0.8871871788739423,0.05725533945312444,0.7778345001402301,0.9990782261490752,0.318,0.398
114,House,20947,"ROE, David P. (Phil)",200,1.501156260947988,1.5008809809037449,0.0668653728420423,1.3701968450779227,1.6325471205050532,0.486,0.024
114,House,20948,"OLSON, Pete",200,1.535918706055937,1.5355626446380402,0.06539482104664421,1.4076155625157865,1.6647457990232697,0.548,0.308
